idx,class,conversation
2235,갈취 대화,"아빠 나 급하게 살 거 생겼는데 빨리 100만원만 보내줘
어떤 걸 사는데 100만원이나 필요하니.?
그건 알 바 없고 빨리 보내주기나 해.
아빠가 요즘 상황이 안좋은 거 알잖아.
아 거짓말 치지마 아빠 돈 벌잖아. 그 정도는 있을 거 아니야
아빠도 주고 싶은데 정말 상황이 여의치 않아서 그래.
아 진짜 짜증나게. 헛소리하지 말고 빨리 보내줘.
아빠가 미안해.
못 보내줘? 그래 그럼 아빠 서랍에 있는 통장 가져간다.
아들. 아빠가 얼른 구해줄게. 조금만 기다려주겠니."
2236,직장 내 괴롭힘 대화,"부장님 저 휴가 갈게요
휴가? 이건 아니지 세은씨.
그치 먼저 기다리는 사람도 있데.
먼저 쓰는 사람이 임자 아닌가요?
신입이 왜이리 싸가지가 없어?
그러게 말이에요
뭐? 싸가지? 너네 나 괴롭히는 거니?
이제 알았니?
너도 참 둔하다
힝 울면서 나간다"
2237,기타 괴롭힘 대화,"야 집에갈때 내 가방좀 들어줘
왜 
내가 어깨가 안좋아서 그래
너아까 배구하고 잘 놀더니 뭐가 아프니
야 같은 방향이고 친구끼리 이런것도 못해주냐
니가 나랑 무슨친구니 늘 괴롭히면서 
무슨 그런소리 난 니가 편해서 그런건데
나한테 이런부탁하지마 난 니가 싫으니
그래 딱 봐 나중에 
그만좀 날 괴롭혀 나도 니가 늘 괴롭혀서 죽고싶으니 자꾸 이럼 나도 신고할거야 학폭으로"
2238,직장 내 괴롭힘 대화,"지금 이걸 보고서라고 작성 해온거야?
죄송합니다. 다시 수정하겠습니다.
아니 내가 그렇게 한가한 사람으로 보여? 벌써 몇 번째야 어?
죄송합니다.
이래가지고 내가 이대리한테 일을 맡길 수 있겠어?
제대로 해보겠습니다.죄송합니다.
아니 뭐 그럼 지금까지는 대충 했다는 거야 뭐야. 어? 이러다 이 번 프로젝트 망치면 책임질건가?
아닙니다. 최선을 다해서 해왔는데.
나는 이제 앞으로 이대리한테 뭘 맡길 수가 없겠네. 일을 맡길 때마다 매번 이딴식으로 밖에 못하니 내가 자넬 뭘 믿고 맡기겠나?
죄송합니다. 실망시켜드리지 않도록 더 노력해보겠습니다.
자네보다 늦게 시작한 사람들도 이 것보단 잘 하겠네. 나참. 다시 해!"
2239,협박 대화,"마지막으로 할 얘기는 없나
제발 목숨만 살려 주세요
오늘까지 그 녀석 내 앞에 데려오라고 했잖아
죄송합니다 그렇지만 잡을 수는
그래? 그럼 죽어야지 애들아 치워라
잠시만요!! 시간을 좀만 더 주시면 제가 어떻게든 데려 오겠습니다 
니가 데려올 수 있다고? 그냥 목숨으로 떼워
아닙니다 이번에는 꼭 데려오겠습니다 믿어주세요
그렇단 말이지 알았어 마지막이야 다음은 없어
네 감사합니다"
2240,갈취 대화,"야 너 우리 학교 다니지? 여기서 보네 반갑다
 어 네. 안녕하세요.
 형들이 지갑을 두고 와서 그러는데 너가 좀 도와줘야겠다.
 지갑 좀 내놔봐.
 네? 왜 이러세요.
 좋게 말할 때 내놔. 험한 꼴 보고 싶지 않으면.
 일 크게 벌리고 싶지 않다. 얼른 내놔.
 여기요.
 말 잘 듣네. 고맙다 애기야"
2241,기타 괴롭힘 대화,"야 너 어제 내 대신 동아리방 청소하랬지
아 맞다.
맞고싶냐?오늘 당장해라
알았어.
야 동방에 라꾸라꾸도 없던데 하나 사다놔
내돈으로?
어. 그럼내돈이냐?
나 돈없는데.
팍씨 너 이따 뒷골목으로 따라와
알았어"
2242,직장 내 괴롭힘 대화,"야 김대리 일로 와 봐. 이거 네가 쓴 보고서 맞지?
 네.
 머리 좀 대 봐. 음 역시 텅 비었구나. 소리만 들어도 알 수 있어. 우동사리조차 안 들었네. 공갈빵은 그래도 맛있기라도 한데 넌 대체 뭐냐?
 죄송합니다.
 뭐가 죄송해요 네가 열등한 유전자를 가진 건 네 잘못이 아닌데. 그냥 너희 부모님이나 원망하세요.
 .이만 가봐도 되겠습니까?
 가라 가. 가는 김에 나도 같이 가자. 이야 책상 꼬라지가 아주. 깨끗하구나? 니 대가리처럼 정말 텅비었네. 할 일이 없어서 비워둔 거냐? 시간이 남아 돌아? 아니면 퇴사하려고? 네가 상사들의 니즈를 아주 잘 파악하는구나?
 아닙니다.
 어이구! 네가 우연히도 네 노트북에 커피를 쏟았네? 미안해서 어떡해 내 손으로 기꺼히 닦아줘야 할까?
 아닙니다. 제가 하겠습니다.
 너는 제대로 다루지도 못하는 노트북 까짓 거 그냥 쓰레기통에 버려 버리고 일을 못하면 커피나 다시 타 와. 그것도 너 같은 저능아도 할 수 있으니까.
 .알겠습니다."
2243,직장 내 괴롭힘 대화,"저 부장님. 드릴말씀이 있는데요.
어 김사원. 뭔데 말해봐.
제가 이번에 남은 휴가들을 쓰고 싶은데.
휴가? 휴가같은 소리하고 앉아있네. 자네 지금 해야할 일들이 얼마나 많은데. 휴가??
저번에도 안된다고 하셨잖습니까.
아주 놀고있네.
이번 한번 쓰고 싶습니다.
안돼!! 무슨놈의 휴가야 휴가는. 보고서 당장 오늘내로 써와!
정말 이러시기입니까.
가서 일이나해도 모자를판이야!!!! 근데 무슨 얼어죽을 휴가!!! 그럴거면 자네 오늘부로 그만두게나!
정말 너무하시네요. 이럴거면 저 진짜 그만두겠습니다."
2244,직장 내 괴롭힘 대화,"김사원 
앗 부장님 안녕하십니까!
그래 그래. 아직 일이 많이 힘들지?
아닙니다! 괜찮습니다.
원래 처음엔 다 힘들어도 시간지나면 또 기계적으로 일하게 된다. 나처럼
하하. 그렇죠.
근데 김사원은 흡연안하나? 사회생활하려면 남자가 담배정도는 펴야하는 거 아냐?
네? 아 저는 어릴 적부터 폐가 안좋아서.
하나 펴봐. 폐도 완벽히 좋은 사람이 어딨어. 피면서 어? 폐건강도 훈련시키는거지. 자
아.아닙니다.정말 괜찮습니다.
지금 직장 상사가 먼저 손내밀었는데 이렇게 거절하는 것도 예의가 아닌 거 알지?"
2245,기타 괴롭힘 대화,"너도 이 뮤지컬 보러 온거야?
응. 초대 받아서 왔어.
아 어쩐지 그렇구나. 
나라고 못 볼 이유가 있어?
여기 티켓이 워낙 비싸서 말야.
근데? 티켓이 비싼거랑 내가 보는 거랑 무슨 상관이 있는데?
이런거 한번 보고나면 일주일 굶고 그러는거 아니였어?
너 진짜 말 웃기게 한다. 넌 내가 거지같이 산다는거야?
얘 너 너무 예민한거 아니야? 난 니가 워낙 가난하게 살았어서 돈이라면 벌벌 떠는 줄 알았는데. 
가난하면 이런 취미생활도 못하고 밥도 못먹고 산다 이거니 ? 
그래야 하루 빨리 가난에서 벗어나지 않겠어? 이 공연도 어디 끝에서 간신히 보는 거 아닌가 몰라. 나중에 이런거 또 보고싶으면 나한테 얘기해. 눈치볼거 없어"
2246,갈취 대화,"학생회비로 3만원씩 000으러 입금해주세요
보냈습니다.
저도 보냈습니다.
이건 어디에 쓰이는 학생회비죠 ? 두달 전에도 학생회비 냈던 기억이 있는데 
아하 전에 학생회비 걷은 것이 부족해서요. 올 말에 선배님들 졸업 선물에 쓰일 예정입니다.
정확한 예산안을 보고 싶습니다. 두달 동안 6만원은 너무 많은 돈 같습니다.
저 . 그게 . 저희가 장부를 정리 하는대로 보내드리겠습니다.
네 ?? 미리미리 예산을 정하고 학생회비를 걷은 것 아닙니까 ??
 이상하네요. 오늘안으로 보내주시고 이상 있으면 학교 측으로 신고하겠습니다.
네 . 잠시만 기다려주세요 ."
2247,직장 내 괴롭힘 대화,"오과장은 나이 먹어가지고 그것도 하나 똑바로 못하나
죄송합니다
그러니까 만년 과장인 거야 한심하긴
네
당신이 그 모양이니 밑에 있는 직원들이 뭘 보고 배우겠어
면목 없습니다
 당신 이런 식으로 하면 모가지인 줄 알라구
죄송합니다
 옷차림은 그게 또 뭐야 칠칠치 못하긴
 옷차림 말입니까
꼴도 보기 싫으니 썩 꺼져"
2248,갈취 대화,"왜 쳐다봐?
네 제가요?
응 너가 나 쳐다봐서 나 지금 굉장히 심리적으로 불안해졌어
무슨말씀이신지.
너가 나 쳐다봐서 나 지금 심리적으로도 불안해지고 손도 떨리고 그렇다고
전 안쳐다봤어요
아니 내가 쳐다봤다면 본거지 자꾸 이상한 소리해. 나랑 같이 경찰서랑 병원 가자. 보상받아야겠어
저기요. 전 당신 쳐다본적도 없어요.
지금 내 떨리는 눈동자와 손 어떻게 해결할꺼야? 뭘로 보상해줄래?
죄송한데 저한테 왜이러시는거예요"
2249,협박 대화,"저새끼는 왜 말도 안듣고 시키는것도 안하지?
그러게 말이야
한대 맞아야 정신차리려나
니들이 뭔데 나를 때린다는건데
그러니까 말좀 제대로 들어
이번주까지 하라는거 안하면 죽을줄알고 있어
안한다면 어쩔껀데
너희 가족도 가만 안둬
가족까지는 그냥 둬
니가 하는거보고 결정하께"
2250,직장 내 괴롭힘 대화,"지금 이걸로 뭘 하라는 겁니까? 김대리.
네?
이걸 가져가면 전무님이 나한테 뭐라고 할 거 같아?
잘 못된 부분을 알려주시면 제가 다시.
처음부터 똑바로 하면 될 것을. 하여튼 후진학교 나온 것들은 티가 난다니까.
.
김대리. 이렇게 월급 날로 먹으면 미안하지 않아요?
좌송합니다. 다시.
됐어! 또 이렇게 엉망진창으로 시간만 잡아 먹을텐데. 시간낭비 하고 싶지 않으니까 박대리 들어오라고 해! 
그래도 제가 시작한 프로젝트고.
너 따위가 어떻게 이런 큰 건을 도맡아 할 수 있겠어? 상무님은 도대체 무슨 생각인건지. 당장 나가!"
2251,기타 괴롭힘 대화,"고모 오셨어요?
그래 너 이번 모의고사에서 몇 등급 받았니?
5등급이요.
5등급? 그걸로 대학 갈 수 있니?
이름 있는 데는 아니라도 제가 가려고 하는 데는 갈 수 있을 거예요.
스카이 아니면 대학도 아니야.
제가 가려는 애니메이션 학과는 스카이에는 없는데요.
그런 생각이나 하니까 성적이 그 따위지. 유명한 만화가들도 보면 다 명문대 출신이야.
아닌 사람들도 많아요.
니가 뭘 안다고 그래? 이 집은 애나 부모나 다 엉망이야."
2252,기타 괴롭힘 대화,"야 ! 비호감
어?
너 얼굴 좀 가리고 다닐 수 없냐?
왜.
니 얼굴에 여드름 존나 역겨워
아
아 저 기름봐 더럽다 진짜
미안해.
무슨 귤 껍데기도 아니고 피부가 왜저래
.가리고 다닐께."
2253,협박 대화,"말같지도 않은 소리하네. 잘 알지도 못하면서 팁이라고 영상 올린거냐?
 제 주관이고 제가 아는 상식에 따르면 이 영상의 내용이 맞아요. 소비자한테 좋은 정보를 드리려고 하는거구요.
 개소리하지마. 내가 이 바닥에서 몇 십년을 생활했는데 허위성 영상 글 올리지마라
 저는 앞으로도 영상 올릴거구요. 여기 제 유튜브입니다.
 하? 상식에 상자도 모르는게 유튜브는 쓰레기같은 영상 제작하니까 다른 사람들이 피해보잖아
 대체 왜그러세요. 제가 누구 욕하는 것도 아니고 정보 제공해서 소비자구독자한테 알려주는건데 제가 잘못했나요?
 됐고 너 영상 안내리고 나한테 사과 안하면 유튜브에 너네 집 니 딸 신상 다 있으니까 내가 다 가만안둬 다 죽여 버릴 거야 어!!
 뭔 말같지도 않은 협박을 하고 있으십니까?
 말같지도 않은 소리? 어디 지켜봐. 내가 니 딸 죽이고 니 아내 강간하고 집안 3대까지 쑥대밭으로 만들테니까 너 딱 기다려. 내가 보여줄게
 댓글 증거 및 다 추적했구요. 사이버 수사대에 민원 넣고 고소하겠습니다. 선처 없습니다."
2254,기타 괴롭힘 대화,"근데 너네 부모님은 어디나라셔?
우리 부모님 아빠는 인도사람이고 엄마는 중국사람이셔
그럼 너 잡종이네? 강아지나 고양이들도 종 서로 섞여서 교배되면 잡종이잖아. 너 잡종이야?
사람한테 잡종이라니. 그냥 나 혼혈일뿐이야.
잡종이라는 말 기분나빠? 너 잡종 맞잖아 잡종을 잡종이라 하지 뭐라 그래? 근데 왜 두분 다 외국인이신데 한국에서 살아?
한국기업에서 일하고 계셔서 그래.
와 잡종인데 한국에서 돈 받고 일한다니. 진짜 잡종중의 완전 잡종
잡종 아니라고. 그리고 우리 엄마아빠도 이제 한국인이라서 한국에 세금도 내.
그전까지는 안 냈을거 아니야. 잡종은 잡종 나라로 돌아가. 괜히 우리나라 물 흐리지 말고 니가 나중에 결혼해서 애 낳으면 와. 거의 외계인 아님? 생김새가?
너 말 사람 너무 기분 나쁘게 한다. 말 좀 예쁘게 해주면 안 돼?"
2255,기타 괴롭힘 대화,"안녕하세요 고객님 편하게 입어보세요
네 언니 이거 입어봐도되요?
아 고객님 이 옷은 니트라 착용이 불가합니다
아휴 저 날씬해서 괜찮아요! 저 진짜 입어보고 마음에 들면 바로 사려고해요 한번만 입어보게해주세요 
저 사장님이 알면 혼나서 안돼요 다른 색상 착용은 어떠세요?
아다른건 별론데 저 화장품도 안묻게 입을게요 한번만 입게해주세요
죄송해요 
아진짜 드럽게 치사하게구나 옷 한번 입는가가지고 뭐이렇게 굴어요????? 여기 이래서 장사하겠어요??
죄송해요 규칙이라
규칙같은 소리하네 언니 진짜 융통성없다"
2256,갈취 대화,"너 용돈 얼마받았어?
?원.
많이받았네?지갑이 꽉 찼네
응
나 이정도만 가져갈게
안돼 내 생활비야
돈 많잖아. 이만큼만 가져갈게?
아니야 돌려줘
우리 친구잖아 잘 쓸게
안돼 돌려줘"
2257,기타 괴롭힘 대화,"안녕 얘들아 나는 이번에 전학 온 수진이야 잘 부탁해 
잘 부탁해? 이 새끼가 미쳤나 야 영철아 얘가 잘 부탁한다는데 ?
어 그래그래 잘 해줄게 그래 그럼 담배부터 사와볼까?
으.응? 담배라니?? 
 담배라니? 이지랄 모르는 척 하는거 역겹다 너 
야 담배 몰라? 말레 사오라고 못 사오면 넌 내일은 없는거다 알겠냐?
사오면 누가 알아? 우리가 정말 잘 해줄지 
 미친새끼 
얘들아. 담배 이런건 안좋은거야.
학교폭력 멈춰!"
2258,협박 대화,"이봐요 씨 이거 보여?
이러지 마십시오
이러지 말기는 이게 바로 메스라는거야. 날이 참 잘 들었지요?
저는 모르는 일입니다. 이러지 마십시오!
아이고 그러셔요 우리 씨는 모르는 일이셨구나. 근데 나는 씨가 알든 말든 상관이 없어요 나는 이걸로 간단히 장기 몇개만 챙겨가면 되거든
경찰에 신고하겠습니다.
이야 신고정신 투철한거 좋지! 훌륭한 문화시민!!!
저 장난하는거 아닙니다 진짜 신고할거에요
해 괜찮아 어차피 장기떼다 파는 놈이 경찰 무서워서 이짓을 하겠어? 
저한테 대체 뭘 바라시는 겁니까

내가 바라는거야 뭐 댁 장기가 좀 깨끗했으면 좋겠다 이거밖에 없지.

원하시는게 있을거 아닙니까!!!!!

뭐 그거는 내가 아니라 사장님한테 물어봐야 할 거 아닐까? 물어볼 수 있으면 말야.
자 어째 이대로 나랑 즐거운 시간을 보내볼래 아니면 일단 사장님이랑 마지막 통화연결이라도 해드려?"
2259,협박 대화,"우리자식살려내 못살리면 다 죽여버릴거야
최선을 다 하겠습니다
하지만 지금 위급한 상황이라 장담하긴 어렵습니다
안돼 살려내라고
왜 멀쩡하던애가 이지경이됏는데
너때문이야
보호자님 이러시면 안됩니다
죽여버릴거야 칼을휘두룬다"
2260,협박 대화,"음 결정했어. 불로 태울 거야. 듣고 있지? 잠깐만 테이프 때 줄게.
 갑자기 왜 이러는 겁니까 도대체. 미쳤습니까 선생님?
 전에 들은 적이 있어. 분사 즉 불에 타 죽는 게 가장 고통스러운 죽음이라고. 한줌의 재가 되고 싶지 않으면 지금부터 하는 말을 잘 들어 어린 친구.
 뭘 말입니까?
 이 집에서 꺼져. 이 공간은 나만의 것이야 나 없이는 절대 완성될 수 없는 공간. 그랬어야 했어. 나를 위해 만들어진 곳에서 다른 누군가가 산다? 그건 안 될 말이지 음.
 전 무슨 말을 하는지 전혀 모르겠습니다 이 집은 정당하게 구입한 것으로 제 소유인.
 네가 받아드리지 못하겠다면 십자가에 걸고 기름을 부어 줄게. 그리고 네 머리위에 성냥을 올려줄게. 그럼 천천히 불이 번지고 뜨겁게 타오르기 시작 하나의 거대한 촛불이 되는 거지. 정말 아름다울 거야. 너에게 있어서는 굉장히 고통스럽겠지 진짜로 음.
 완전히 미쳤군요. 지금까지 계속 미치지 않은 척을 한 겁니까?
 말조심하게 건방진 친구. 난 단 한 순간도 제정신이 아니었던 적이 없어. 더 할 말은 없으니 자네의 결정을 들을 순간이다.
 알겠습니다 나갈게요 지금 나간다고요! 일단 이것 좀 풀어주세요 당장!"
2261,갈취 대화,"아니 직원들 월급을 그렇게 많이 가져가시면.
자네 불만있으면 나가시게
그럼 노력의 대가를 정당하게 다 받고 나가겠습니다.
싫다면
아니 사장님!!
원래 절이 싫으면 중이 떠나는 거야
사장님 여긴 절이 아니라 직장이 잖아요 
그래서
뺏어간 돈 저희 것이기도 해요
애초에 내 회사 아니었다면 그 돈도 못만들었어 경호팀 이 자식들 끌어내"
2262,갈취 대화,"야 너 돈 내놔 죽고 싶지 않으면
저 돈이 그리 많이 없어요
그래도 한푼이라도 받아야 내가 사니까 내놔
아이고 사시는게 힘드시죠 그래서 이렇게 강도 짓을 하신거 아니에요
감사해요 감사합니다.
아이고 불쌍해서 더 드릴게요
뭐야 너 돈 많이 있었네 많이 가지고 있으면서 나 한테 진작에 많이 안줬단 말야
네?
더 내놓지 그래 목숨이 아까우면
이런"
2263,기타 괴롭힘 대화,"야 너희 아빠 회사 잘렸다며?
 누가 그런 말 해?
 동네에 소문 다났던데?
 아니야. 그거 거짓말이야.
 뭘 그런 걸 숨기고 그래? 가난이 죄도 아니고. 잘릴 수도 있지.
 그런 거 아니라고!
 이제 너 학원도 못나오겠네. 집에 돈이 없어서.
 우리아빠 잘린 거 아니고 학원도 계속 다닐거니까 그런 헛소문 내지 말아줘.
 너희집 망한 거 다 아는데 무슨 헛소문? 자존심 세우지말고 돈 없으면 고개 잘 숙이고 다녀.
 그런 거 아니라고."
2264,갈취 대화,"돈 내놔요
저번에 받은건 뭐야?
그건 그걸로는 어림없죠
난 거래 끝났어 그만 나가
이러면 곤란해요 살인자라는거 말할까요?
헉 안 되
그럼 좋은 말로 할 때 내놔요
알았어 그럼 각서써
네
다신 돈 달라 하면 안 된다"
2265,기타 괴롭힘 대화,"니는 뚱뚱해서 맞아도 안 아프겠다
어? 아니야 나도 아파
맞아보면 알겠네
야 그래 한 번 쟤 때려봐
애들아 그만해 나도 아파
야야 동영상 찍고 있냐? 
내가 찍을 테니까 좀 기술 써 봐
아 알겠어 기술 들어간다
으악 그 그만해 
야 진짜 잘 찍혔다"
2266,직장 내 괴롭힘 대화,"이거 급한거니까 최대한 빨리 처리해줘
아.네.
이제 퇴근시간이 되어서 저 퇴근해보겠습니다.
오늘 할일은 다하고 퇴근하는거야?
네.? 아 네
아까 내가 업무 맡긴것도?
아 그거는 내일 출근해서 조금만 마무리 하면 되서요.
내가 급한거라고 했는데 처리안하고 그냥 간다고?
아 오늘 마무리하고 퇴근하겠습니다.
어 그래 수고해 난 퇴근한다"
2267,직장 내 괴롭힘 대화,"잠깐 같이 커피좀 마실까
네 부장님
저번에 이야기한건 생각해보았나
아.그건 어려울것 같습니다
별거아니야 쉽게 생각하라구 서류만 약간 고치는거야 그냥 업체 점수 조금만 올려주면돼
그건 엄연히 불법이라서요 부장님
어허 불법이라니 업체가 다 비슷하잖아 그업체가 그업체고 일하는게 뭐 크게 다른가 깐깐하게 왜그래
죄송합니다 부장님
김대리 그렇게 안봤는데 사람이 고지식하구만 내가 인품이 좋아서 오냐오냐했더니 보이는게 없나보군 회사생활도 깐깐하게 함 해볼까
부장님 왜그러십니까."
2268,갈취 대화,"자기야 내가 말한 돈은 오늘 안으로 보내줄 수 있지?
 음. 근데 자기 저번에 빌려간 돈도 아직 나한테 안줬는데. 나도 솔직히 좀 빠듯해서
 하. 자기야 울 엄마 병원비 보태달라는게 그렇게 힘들어.? 지금 난 엄마 병원비 못내서 엄마가 어떻게 될까봐 정말 미치겠는데 여자친구가 돈 보태주는게 힘들어.?
 아.니 그게 아니라.
 내가 그냥 달라는 것도 아니고 이직 다시 해서 돈 갚는다니까 왜 나 쪼잔한 놈 만들어?
 
 하 됐어. 내가 알아서 할게.
 아니야. 지금 보내줄게 내가 미안. 내가 생각이 넘 없었다. 500 맞지.?
 하 고마워 자기야 미안해 매번. 역시 우리 자기밖에 없다.
 응.
 다음 달에 3차 재수술 받으셔야 한다고 하니까 다음 달도 부탁해 내가 진짜 잘할게!
 알겠어. 준비해볼게.
 우리 자기가 정말 최고야! 고마워"
2269,갈취 대화,"을 너 잠깐 이리 와봐.
 왜 그러는데?
 왜긴 우리 을이 너어무 이쁘니까.
 미안 내가 잘못했어. 한번만 봐줘.
 미안? 네가 뭐를 잘못했는데?
 아냐 하루만 더 시간을 줘.
 시간? 야 나랑 장난하냐? 잔말말고 벗어.
 벗으라고? 뭐를?
 좋아보이네. 그것도 푸르고.
 안돼 나는 뭐 입으라고?
 그건 네 사정이고. 빨리 안벗어? 썅"
2270,갈취 대화,"돈 내놔 빌려간 돈
줄게 다음에
지금 내놓으라고 내 돈이잖아
다음에 준다고 지금 돈 없어
그럼 니 물건이라도 내놔
아 싫다고
왜 싫음데 내돈인데
돈 없어
왜 없는데
없으니까 없지"
2271,기타 괴롭힘 대화,"나 또 남자친구 생겼다 !
또 ? 이번이 몇번째야
글쎄? 전 남자친구는 질리더라고
아 오래 좀 만나라 
너가 무슨 상관이야
너 소문 안좋아
맛집이라고 소문났어
맛집? 그게 뭔데 너 아무 남자한테나 다 주고 다닌다고 맛집이라고 소문났더라 걸레 소리 듣기 싫으면 작작 좀 만나"
2272,협박 대화,"밤마다 뭘하는 지 시끄러워서 잠을 못자겠다고!
밤에 뭐 하긴 자지.
자는 데 왜 쿵쾅거리는 소리가 나냐고
윗집이 우리 집만 있나? 옆집인가보지
말이 되는 소리를 해! 옆집은 지금 여행 중이라 비어 있다고
억울하면 그쪽이 이사를 가시던가
그딴 식으로 나오면 너 가족들 무사할 수 있을 거 같아?
지금 협박하는거야?
그래 자꾸 시끄럽게 하면 너 너네 가족 다 죽여버릴거야.
협박죄로 고소하겠어!"
2273,기타 괴롭힘 대화,"그만 좀 때려 .
왜 재밌는데
아파 .
그럼 아프라고 때리지 너 좋으라고 때리니?
그만해 .
싫어 난 너 얼굴만 봐도 때리고 싶어 못생겨서
미안해 .내가 다 . 잘 못 했어 .
맞은거 말하기만 해봐 
알았어 .그만해"
2274,갈취 대화,"현수야 내가 좀 급해서 그러는데 500만원만 주면 안돼?
그런 큰돈이 지금 어딨어
너 통장에 있자나 아껴쓰는 애가
그건 적금통장이라서 건들면 안돼
금방 갚을게
안돼.부모님한테 드려야한단말이야
왜이래 우리사이에! 돈 갚겠다자나
알겠어.금방 갚아야해
나 이상한사람 만들지말자 확 패버릴까보다
미안해.빌려줄게"
2275,갈취 대화,"우리 헤어져.
뭐? 왜 갑자기 그런 소리를 해?
너 너무 집착이 심해. 못 견디겠어.
내가 언제 그랬는데? 오히려 믿음 안 준건 너잖아.
그래. 다 내 잘못이니까 헤어지자.
야. 생각을 하고 얘기를 해. 너 나랑 쉽게 헤어질 수 있을 것 같아?
이젠 협박까지 하시겠다?
너 내 핸드폰에 너 관련된 거 엄청 많아. 안 무섭냐?
무슨 얘기 하는 거야.
넌 나랑 헤어지는 순간 인터넷에 다 공개해버릴거라고. 그러니까 나랑 계속 만나는 게 좋을거야?"
2276,기타 괴롭힘 대화,"안녕하세요.
왜 자꾸.우 따라아아하세요?
재.미.이.밌.잖아요.
재.미 어.버.없.어요.
재미.이.있느.으.는.데?
노.놀리.지.마세요!
시.르.싫.어요.
그마.아.만하.세요.
왜요?
놀리.느.은.거.것은.나빠.요."
2277,기타 괴롭힘 대화,"저기여 번호 좀 알려주세요
네!?? 싫은데요
그러지말고 제 스타일인데 번호 점 주세요
저 남자친구있어요
아 그러지말고 번호 좀 줘요
왜 그러세요 그만 가세요
아 번호 좀 주세요 그러지말고 
가시라구여 부담스럽게 왜 그러세요 싫다니깐요
아 그러지말구 번호 주세요 연락처만 주면 되잖아요 번호 찍어주세요 안그럼 계속 쫓아갈거에요
저 신고할거에요 계속 쫓아오시면
저 땡땡씨 다니는 회사가 어딘지 아는데 상관 없으신가봐요? 매일 찾아갈까요?"
2278,직장 내 괴롭힘 대화,"신사원 이번주 주말에 골프 약속 있는거 알지?
네? 저 이번주 주말에 제 딸 돌잔치 예정되어 있어서 어려울거 같습니다.
돌잔치 날을 미뤄 시간을 미루던가. 내 골프약속이 더 중요한거야 몰라?
그래도 딸 첫 생일인데 그걸 어떻게 미룹니까. 다음 골프약속에는 꼭 참여하겠습니다.
어허. 너 부서 옮기고 싶지? 일부러 경력도 없고 학력도 낮은데 골프치는거 봐서 좋은 부서에 넣어줬구만 배가 불렀네. 호의가 계속 되니 권리인 줄 아나봐?
평소에는 제가 잘 가지만. 이번에는 어쩔 수 없는거 아닙니까. 저도 골프 당연히 꼭 가고 싶죠.
거짓말 치지말지. 가기 싫으면 가기 싫다고 말해. 왜 일하기 싫으면 싫다고 말하지. 한 번에 짤라버리면 되는데. 너 내가 골프 데리고 다녀서 착각하나 본데 너 나한테 엄청귀한 애 아니야 착각하지마.
죄송합니다. 그럼 딸 돌잔치 8시로 미룰테니 그전에 꼭 끝내주세요.
그래 그렇게 나와야지. 하마터면 너 딸 돌잔치 가려다 직장 잃을 뻔 했다. 아침 8시에 우리 집 앞으로 차가지고 오게.
네 알겠습니다."
2279,기타 괴롭힘 대화,"야 손병신.
하.
한숨 쉬었어? 야 손병신.
그렇게 부르지마.
뭐? 병신한테 병신이라 그러는데.
그렇게 말하지 말라고.
야 병신아. 너 손이 그래서 똥은 어떻게 닦냐?
그런 말 하지 말라고.
이 새끼가 형님이 말하는데 말대답이야?
아 때리지마.
으이구 병신 새끼!"
2280,직장 내 괴롭힘 대화,"미스신
네 이사님
오늘 커피맛이 왜이렇지
아 죄송합니다
내책상 청소는 언제했지
오늘했습니다
그런데 먼지가이렇게 많다고?
죄송합니다 다시하겠습니다
미스신 제일쉬운게 커피타고 청소아닌가
죄송합니다"
2281,기타 괴롭힘 대화,"나 저번에 너희 가족 밥먹는 거 봤는데.
언제? 주말에?
응. 근데 너네 엄마 아빠랑 동생은 가족 같은데 넌 왜 그렇게 달라?
내가? 
어. 너 혹시 주워온 거 아냐?
날 왜 주워와. 나 엄마 아빠가 키워주신 거 맞거든?
키워준 건 맞아도 아니 그렇잖아. 너는 완전 돼지같고 뚱뚱하고 못생겼는데 크크
돼지 같다니? 나 정도면 평범한 거 아냐?
야 미쳤어? 요즘 너 정도면 어디가서 사람 취급도 못받아. 나중에 엄마 아빠가 너 불러다가 사실. 넌 우리 자식이 아니야.하실 듯충격이겠네.
그만해라. 진짜"
2282,협박 대화,"이것좀 풀어줘
안돼 너 또 도망가잔항
아니 도망가는게 아니라 우리 헤어졌잖아
나는 안헤어졌어 절대 못헤어지지
제발 이것좀 풀어줘 너무 아파
싫어 느슨해지면 도망갈지 알고?
엄마아빠걱정하실거야
그러면 다시 만나기러해 내가 풀어줄게 혹시나 거짓말하면 너죽여 니네 부모님도죽여버릴거야 요새 그런 뉴스도 많이 나오던데?
제발. 우리 이성적으로 생각하자
이미 너가 헤어지자고한 순간 이성은 날아갔어"
2283,기타 괴롭힘 대화,"돈 모으기만 해서 뭐하냐?
신경꺼.
쓰지는 않고 거지냐?
쓰는데 아끼는거야.
카페는 한 번도 안가는 주제에.
필요하면 내가 산다.
에휴 불쌍해서 어째?
그만 무시해!
잘 살아봐라. 거지가 부자가 되나?
꺼져."
